Date,Time CST/CDT,Stage (feet),Flow (cfs)
31JAN2025,0700,4.51,704
31JAN2025,0800,4.52,708
31JAN2025,0900,4.52,708
31JAN2025,1000,4.53,713
31JAN2025,1100,4.53,713
31JAN2025,1200,4.54,718
31JAN2025,1300,4.55,722
31JAN2025,1400,4.56,727
31JAN2025,1500,4.57,732
31JAN2025,1600,4.57,732
31JAN2025,1700,4.57,732
31JAN2025,1800,4.57,732
31JAN2025,1900,4.58,736
31JAN2025,2000,4.57,732
31JAN2025,2100,4.57,732
31JAN2025,2200,4.57,732
31JAN2025,2300,4.57,732
01Feb2025,0000,4.56,727
01FEB2025,0100,4.56,727
01FEB2025,0200,4.56,727
01FEB2025,0300,4.56,727
01FEB2025,0400,4.56,727
01FEB2025,0500,4.56,727
01FEB2025,0600,4.55,722
01FEB2025,0700,4.56,727
01FEB2025,0800,4.55,722
01FEB2025,0900,4.55,722
01FEB2025,1000,4.55,722
01FEB2025,1100,4.55,722
01FEB2025,1200,4.55,722
01FEB2025,1300,4.55,722
01FEB2025,1400,4.56,727
01FEB2025,1500,4.56,727
01FEB2025,1600,4.56,727
01FEB2025,1700,4.56,727
