Date,Time CST/CDT,Elevation (ft-NGVD29),Tailwater (ft-NGVD29),Generation (mwh),Turbine Release (cfs),Spillway Release (cfs),Total Release (cfs)
31JAN2025,0700,914.28,705.33,43,2993,0,2993
31JAN2025,0800,914.26,704.94,32,2383,0,2383
31JAN2025,0900,914.26,704.92,34,2439,0,2439
31JAN2025,1000,914.27,704.99,33,2428,0,2428
31JAN2025,1100,914.29,705.09,39,2667,0,2667
31JAN2025,1200,914.35,705.34,39,2691,0,2691
31JAN2025,1300,914.36,705.64,50,3451,0,3451
31JAN2025,1400,914.33,705.60,50,3494,0,3494
31JAN2025,1500,914.31,705.23,39,2713,0,2713
31JAN2025,1600,914.30,705.05,37,2552,0,2552
31JAN2025,1700,914.35,705.03,34,2437,0,2437
31JAN2025,1800,914.34,705.22,33,2400,0,2400
31JAN2025,1900,914.34,706.61,73,5066,0,5066
31JAN2025,2000,914.30,706.00,73,5118,0,5118
31JAN2025,2100,914.35,705.18,40,2928,0,2928
31JAN2025,2200,914.37,705.13,33,2415,0,2415
31JAN2025,2300,914.36,705.41,44,3060,0,3060
01Feb2025,0000,914.39,705.33,43,2914,0,2914
01FEB2025,0100,914.35,705.15,37,2562,0,2562
01FEB2025,0200,914.35,705.04,36,2519,0,2519
01FEB2025,0300,914.35,705.00,34,2446,0,2446
01FEB2025,0400,914.34,705.27,40,2724,0,2724
01FEB2025,0500,914.40,705.16,38,2599,0,2599
01FEB2025,0600,914.40,705.32,42,2874,0,2874
01FEB2025,0700,914.34,705.42,44,2993,0,2993
01FEB2025,0800,914.38,705.61,45,3132,0,3132
01FEB2025,0900,914.41,705.45,47,3247,0,3247
01FEB2025,1000,914.42,705.50,49,3351,0,3351
01FEB2025,1100,914.41,705.57,45,3120,0,3120
01FEB2025,1200,914.40,705.39,42,2888,0,2888
01FEB2025,1300,914.42,705.30,43,2947,0,2947
01FEB2025,1400,914.42,705.42,44,3003,0,3003
01FEB2025,1500,914.44,705.41,47,3218,0,3218
01FEB2025,1600,914.44,705.17,40,2764,0,2764
01FEB2025,1700,914.44,705.33,45,3111,0,3111
01FEB2025,1800,914.43,705.40,44,2981,0,2981
